# BANG PHI IUL — NLG — KY HAN 20 NAM — hai sheet NTBC (dot 1/2)
# Nguon: Google Sheet "1. Bang quote gia IUL 2025 - 20 NAM" (Drive chu tool gui 10/08/2026)
# Doc ngay 10/08/2026. Doi chieu forum: Nu/NTBC/35t/250k = $217.00 va 45t/250k = $357.00 -> KHOP.
#
# ☠️ CHU TOOL CHOT 10/08/2026: "so drive la chuan, em co the lam theo so drive".
#    => CHEP NGUYEN VAN, KHONG SUA O NAO, ke ca 6 o duoi day da xac dinh la BAT THUONG.
#    Chung cung dang chay tren forum (da do: o 700k tuoi 33 forum tra ve dung 577.20).
#
# SAU O PHA VO QUY LUAT (phi phai ti le thang voi menh gia) — GIU NGUYEN, DUNG "SUA CHO DEP":
#   20FN tuoi 33 / 700k : 577.20  (quy luat 557.20)
#   20FN tuoi 41 / 425k : 469.40  (quy luat 496.40 — nghi dao 496->469)
#   20MN tuoi 30 / 300k : 233.70  (quy luat 242.70)
#   20MN tuoi 36 / 700k : 735.20  (quy luat 753.20 — nghi dao 753->735)
#   20MN tuoi 39 / 225k : 297.22  (quy luat 279.22 — nghi dao 279->297)
#   20MN tuoi 59 / 225k : 730.25  (quy luat 830.25)
# Neu sep sua trong Drive thi lay lai file nay, DUNG tu sua o day.
#
# DINH DANG: <ma sheet>|<tuoi>|<gia tri theo thu tu menh gia>|<tong kiem tra>
#   tong kiem tra = tong tat ca gia tri (cent, lam tron), bo qua "-"
#   "-" = o trong trong sheet = hang KHONG BAN muc do. Tuyet doi khong noi suy.
#   Kiem lai bang: node scripts/doi-bang-phi.js
#MG 20FN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,825000,850000,875000,1000000
#MG 20MN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,900000,1000000
20FN|13|36.10,45.12,54.15,63.17,72.20,81.22,90.25,99.27,108.30,117.32,126.35,135.37,144.40,153.42,162.45,171.47,180.50,189.52,198.55,207.57,216.60,225.62,234.65,243.67,252.70,261.72,270.75,279.77,288.80,297.82,306.85,315.87,361.00|599252
20FN|14|37.90,47.37,56.85,66.32,75.80,85.27,94.75,104.22,113.70,123.17,132.65,142.12,151.60,161.07,170.55,180.02,189.50,198.97,208.45,217.92,227.40,236.87,246.35,255.82,265.30,274.77,284.25,293.72,303.20,312.67,322.15,331.62,379.00|629132
20FN|15|39.60,49.50,59.40,69.30,79.20,89.10,99.00,108.90,118.80,128.70,138.60,148.50,158.40,168.30,178.20,188.10,198.00,207.90,217.80,227.70,237.60,247.50,257.40,267.30,277.20,287.10,297.00,306.90,316.80,326.70,336.60,346.50,396.00|657360
20FN|16|41.20,51.50,61.80,72.10,82.40,92.70,103.00,113.30,123.60,133.90,144.20,154.50,164.80,175.10,185.40,195.70,206.00,216.30,226.60,236.90,247.20,257.50,267.80,278.10,288.40,298.70,309.00,319.30,329.60,339.90,350.20,360.50,412.00|683920
20FN|17|42.70,53.37,64.05,74.72,85.40,96.07,106.75,117.42,128.10,138.77,149.45,160.12,170.80,181.47,192.15,202.82,213.50,224.17,234.85,245.52,256.20,266.87,277.55,288.22,298.90,309.57,320.25,330.92,341.60,352.27,362.95,373.62,427.00|708812
20FN|18|44.30,55.37,66.45,77.52,88.60,99.67,110.75,121.82,132.90,143.97,155.05,166.12,177.20,188.27,199.35,210.42,221.50,232.57,243.65,254.72,265.80,276.87,287.95,299.02,310.10,321.17,332.25,343.32,354.40,365.47,376.55,387.62,443.00|735372
20FN|19|45.80,57.25,68.70,80.15,91.60,103.05,114.50,125.95,137.40,148.85,160.30,171.75,183.20,194.65,206.10,217.55,229.00,240.45,251.90,263.35,274.80,286.25,297.70,309.15,320.60,332.05,343.50,354.95,366.40,377.85,389.30,400.75,458.00|760280
20FN|20|47.30,59.12,70.95,82.77,94.60,106.42,118.25,130.07,141.90,153.72,165.55,177.37,189.20,201.02,212.85,224.67,236.50,248.32,260.15,271.97,283.80,295.62,307.45,319.27,331.10,342.92,354.75,366.57,378.40,390.22,402.05,413.87,473.00|785172
20FN|21|49.10,61.37,73.65,85.92,98.20,110.47,122.75,135.02,147.30,159.57,171.85,184.12,196.40,208.67,220.95,233.22,245.50,257.77,270.05,282.32,294.60,306.87,319.15,331.42,343.70,355.97,368.25,380.52,392.80,405.07,417.35,429.62,491.00|815052
20FN|22|50.80,63.50,76.20,88.90,101.60,114.30,127.00,139.70,152.40,165.10,177.80,190.50,203.20,215.90,228.60,241.30,254.00,266.70,279.40,292.10,304.80,317.50,330.20,342.90,355.60,368.30,381.00,393.70,406.40,419.10,431.80,444.50,508.00|843280
