# BANG PHI IUL — NLG — dot 2/2
#   20FE = 20 nam / Female / EX1      (file "1. Bang quote gia IUL 2025 - 20 NAM")
#   20ME = 20 nam / Male   / EX1
#   20MT = 20 nam / Male   / TBC
#   15FN = 15 nam / Female / NTBC     (file "2. Bang quote gia IUL 2025 - 15 NAM")
#   15MN = 15 nam / Male   / NTBC
# Doc ngay 10/08/2026 tu Drive chu tool gui. CHEP NGUYEN VAN, khong sua o nao.
#
# ⚠️ 15 NAM CHI CO 2 TO HOP (Female-NTBC, Male-NTBC) — KHONG co TBC/EX1.
#    Da do tren forum: chon 15 Years thi nut TBC va EX1 bi KHOA. La CO Y, khong phai thieu.
# ⚠️ Dong toan dau "-" = tuoi do hang KHONG BAN (vd 20ME tuoi 1-24, 20MT tuoi 1-17).
#    Giu lai de tool biet "co tuoi nay nhung khong ban", khac voi "khong co tuoi nay".
# ⚠️ Bang 15 NAM KHONG ti le thang voi menh gia (co chiet khau theo menh gia) —
#    dung dem phep soi tuyen tinh cua bang 20 nam ap vao day.
#
# O DANG NGO (giu nguyen, chi ghi lai): 20MT tuoi 18 / 300k = 156.30, nho hon
#    275k = 157.57. Lech chi $1.27 — nho, co the chi la lam tron.
#
# DINH DANG: <ma>|<tuoi>|<gia tri theo thu tu menh gia>|<tong kiem tra (cent)>
#MG 20FE=100000,125000,150000,175000,200000,225000,250000,275000,300000,400000,500000
#MG 20ME=100000,125000,150000,175000,250000,275000,300000,350000,400000,500000
#MG 20MT=100000,125000,150000,175000,200000,225000,250000,275000,300000,350000,500000
#MG 15FN=100000,150000,200000,250000,300000
#MG 15MN=100000,150000,200000,250000,300000
20FE|40|126.80,158.50,190.20,221.90,253.60,285.30,317.00,348.70,380.40,507.20,634.00|342360
20FE|41|134.30,167.87,201.45,235.02,268.60,302.17,335.75,369.32,402.90,537.20,671.50|362608
20FE|42|141.80,177.25,212.70,248.15,283.60,319.05,354.50,389.95,425.40,567.20,709.00|382860
20FE|43|149.30,186.62,223.95,261.27,298.60,335.92,373.25,410.57,447.90,597.20,746.50|403108
20FE|44|156.70,195.87,235.05,274.22,313.40,352.57,391.75,430.92,470.10,626.80,783.50|423088
20FE|45|164.20,205.25,246.30,287.35,328.40,369.45,410.50,451.55,492.60,656.80,821.00|443340
20FE|46|175.30,219.12,262.95,306.77,350.60,394.42,438.25,482.07,525.90,701.20,876.50|473308
20FE|47|186.20,232.75,279.30,325.85,372.40,418.95,465.50,512.05,558.60,744.80,931.00|502740
20FE|48|197.20,246.50,295.80,345.10,394.40,443.70,493.00,542.30,591.60,788.80,986.00|532440
20FE|49|208.20,260.25,312.30,364.35,416.40,468.45,520.50,572.55,624.60,832.80,1041.00|562140
20FE|50|219.10,273.87,328.65,383.42,438.20,492.97,547.75,602.52,657.30,876.40,1095.50|591568
20FE|51|233.50,291.87,350.25,408.62,467.00,525.37,583.75,642.12,700.50,934.00,1167.50|630448
20FE|52|247.80,309.75,371.70,433.65,495.60,557.55,619.50,681.45,743.40,991.20,1239.00|669060
20FE|53|262.10,327.62,393.15,458.67,524.20,589.72,655.25,720.77,786.30,1048.40,1310.50|707668
20FE|54|276.50,345.62,414.75,483.87,553.00,622.12,691.25,760.37,829.50,1106.00,1382.50|746548
