# BANG PHI TERM LIFE — NLG
# Nguon: Google Sheet "2. Bang gia quote Term life NLG - Final" (chu tool gui 10/08/2026,
#        do sep cua chu tool lam va kiem tra). Chi lay 5 sheet co tien to "NEW".
#        Doc ngay 10/08/2026.
#
# ☠️ VI SAO CHI LAY SHEET "NEW": file co ca ban cu lan ban NEW. Doi chieu voi 3 ket qua
#    that lay tu forum thi ban NEW khop 100%, ban cu lech han (Male 35 / 250k:
#    NEW = 20.90/25.74/30.14/42.90 · cu = 19.36/24.64/27.94/43.78).
#
# ☠️ THU TU 4 CON SO = 10 / 15 / 20 / 30 NAM. Sheet KHONG ghi nhan cho cac khoi nay;
#    thu tu duoc xac dinh bang doi chieu voi forum, khong phai doan.
#    Dau "-" = o trong trong sheet = HANG KHONG BAN muc do. TUYET DOI khong noi suy.
#
# Khoi cot 600k/700k/800k/900k o cuoi moi sheet toan dau "x" -> chu tool chot BO QUA.
#
# DINH DANG: <ma sheet>|<tuoi>|<cac gia tri>|<tong kiem tra>
#   tong kiem tra = tong tat ca gia tri (don vi cent, lam tron), bo qua dau "-"
#   Dung de bat loi chep tay — chay: node scripts/doi-bang-phi.js
#
# MA SHEET va MENH GIA tuong ung (moi menh gia chiem 4 gia tri: 10/15/20/30 nam):
# 0 = MALE   - SNTBC : 100000 150000 200000 250000 300000 350000 400000 450000 500000 750000 1000000
# 1 = MALE   - STBC  : 100000 300000 500000
# 2 = MALE   - ENTBC1: 100000 300000 500000
# 3 = FEMALE - SNTBC : 100000 150000 200000 250000 300000 350000 400000 450000 500000 750000 1000000
# 4 = FEMALE - ENTBC1: 100000 300000 500000
# (FEMALE - STBC KHONG CO SHEET — chu tool xac nhan sep co y khong lam, khong phai thieu sot)
0|30|18.22,18.30,18.39,24.73,24.02,24.16,24.29,33.79,29.83,30.01,30.18,42.86,19.80,23.10,25.30,39.16,22.44,26.40,29.04,45.67,25.08,29.70,32.78,52.18,27.72,33.00,36.52,58.70,30.36,36.30,40.26,65.21,33.00,39.60,44.00,71.72,46.20,56.10,62.70,104.28,59.40,72.60,81.40,136.84|182534
0|31|18.48,18.57,18.83,25.08,24.42,24.55,24.95,34.32,30.36,30.54,31.06,43.56,20.02,23.54,26.18,39.82,22.70,26.93,30.10,46.46,25.39,30.32,34.01,53.11,28.07,33.70,37.93,59.75,30.76,37.09,41.84,66.40,33.44,40.48,45.76,73.04,46.86,57.42,65.34,106.26,60.28,74.36,84.92,139.48|186648
0|32|18.74,18.83,19.27,25.43,24.82,24.95,25.61,34.85,30.89,31.06,31.94,44.26,20.24,24.20,27.28,40.92,22.97,27.72,31.42,47.78,25.70,31.24,35.55,54.65,28.42,34.76,39.69,61.51,31.15,38.28,43.82,68.38,33.88,41.80,47.96,75.24,47.52,59.40,68.64,109.56,61.16,77.00,89.32,143.88|192169
0|33|19.10,19.18,19.71,25.87,25.34,25.48,26.27,35.51,31.59,31.77,32.82,45.14,20.46,24.64,28.16,41.36,23.23,28.25,32.47,48.31,26.00,31.86,36.78,55.26,28.78,35.46,41.10,62.22,31.55,39.07,45.41,69.17,34.32,42.68,49.72,76.12,48.18,60.72,71.28,110.88,62.04,78.76,92.84,145.64|196050
0|34|19.36,19.45,20.15,26.22,25.74,25.87,26.93,36.04,32.12,32.30,33.70,45.85,20.68,25.30,29.26,42.46,23.50,29.04,33.79,49.63,26.31,32.78,38.32,56.80,29.13,36.52,42.86,63.98,31.94,40.26,47.39,71.15,34.76,44.00,51.92,78.32,48.84,62.70,74.58,114.18,62.92,81.40,97.24,150.04|201573
0|35|19.62,19.71,20.59,26.66,26.14,26.27,27.59,36.70,32.65,32.82,34.58,46.73,20.90,25.74,30.14,42.90,23.76,29.57,34.85,50.16,26.62,33.40,39.56,57.42,29.48,37.22,44.26,64.68,32.34,41.05,48.97,71.94,35.20,44.88,53.68,79.20,49.50,64.02,77.22,115.50,63.80,83.16,100.76,151.80|205374
0|36|20.33,20.42,21.82,28.42,27.19,27.32,29.44,39.34,34.06,34.23,37.05,50.25,22.22,27.50,32.34,46.42,25.34,31.68,37.49,54.38,28.47,35.86,42.64,62.35,31.59,40.04,47.78,70.31,34.72,44.22,52.93,78.28,37.84,48.40,58.08,86.24,53.46,69.30,83.82,126.06,69.08,90.20,109.56,165.88|221435
0|37|21.03,21.21,23.14,30.27,28.25,28.51,31.42,42.11,35.46,35.82,39.69,53.94,23.54,29.26,34.76,50.16,26.93,33.79,40.39,58.87,30.32,38.32,46.02,67.58,33.70,42.86,51.66,76.30,37.09,47.39,57.29,85.01,40.48,51.92,62.92,93.72,57.42,74.58,91.08,137.28,74.36,97.24,119.24,180.84|238317
0|38|21.74,21.91,24.38,32.03,29.30,29.57,33.26,44.75,36.87,37.22,42.15,57.46,25.08,31.02,36.52,53.68,28.78,35.90,42.50,63.10,32.47,40.79,48.49,72.51,36.17,45.67,54.47,81.93,39.86,50.56,60.46,91.34,43.56,55.44,66.44,100.76,62.04,79.86,96.36,147.84,80.52,104.28,126.28,194.92|254024
0|39|22.44,22.70,25.70,33.88,30.36,30.76,35.24,47.52,38.28,38.81,44.79,61.16,26.40,32.78,38.72,57.20,30.36,38.02,45.14,67.32,34.32,43.25,51.57,77.44,38.28,48.49,57.99,87.56,42.24,53.72,64.42,97.68,46.20,58.96,70.84,107.80,66.00,85.14,102.96,158.40,85.80,111.32,135.08,209.00|270204
0|40|23.14,23.41,26.93,35.73,31.42,31.81,37.09,50.29,39.69,40.22,47.26,64.86,27.72,34.54,40.92,60.50,31.94,40.13,47.78,71.28,36.17,45.72,54.65,82.06,40.39,51.30,61.51,92.84,44.62,56.89,68.38,103.62,48.84,62.48,75.24,114.40,69.96,90.42,109.56,168.30,91.08,118.36,143.88,222.20|285953
0|41|24.38,24.99,29.30,38.98,33.26,34.19,40.66,55.18,42.15,43.38,52.01,71.37,29.92,37.40,44.88,67.32,34.58,43.56,52.54,79.46,39.25,49.72,60.19,91.61,43.91,55.88,67.85,103.75,48.58,62.04,75.50,115.90,53.24,68.20,83.16,128.04,76.56,99.00,121.44,188.76,99.88,129.80,159.72,249.48|315097
0|42|25.61,26.49,31.59,42.42,35.11,36.43,44.09,60.32,44.62,46.38,56.58,78.23,32.12,39.82,48.62,73.26,37.22,46.46,57.02,86.59,42.33,53.11,65.43,99.92,47.43,59.75,73.83,113.26,52.54,66.40,82.24,126.59,57.64,73.04,90.64,139.92,83.16,106.26,132.66,206.58,108.68,139.48,174.68,273.24|341779
0|43|27.02,27.98,33.97,45.50,37.22,38.68,47.65,64.94,47.43,49.37,61.34,84.39,34.10,42.68,52.36,80.08,39.60,49.90,61.51,94.78,45.10,57.11,70.66,109.47,50.60,64.33,79.82,124.17,56.10,71.54,88.97,138.86,61.60,78.76,98.12,153.56,89.10,114.84,143.88,227.04,116.60,150.92,189.64,300.52|370181
0|44|28.25,29.57,36.26,49.02,39.07,41.05,51.08,70.22,49.90,52.54,65.91,91.43,36.30,45.32,56.32,86.90,42.24,53.06,66.26,102.96,48.18,60.81,76.21,119.02,54.12,68.55,86.15,135.08,60.06,76.30,96.10,151.14,66.00,84.04,106.04,167.20,95.70,122.76,155.76,247.50,125.40,161.48,205.48,327.80|399054
